filename,path,file_id,frequency,start_date,end_date,variable,variable_long_name,variable_standard_name,variable_cell_methods,variable_units,realm
20010101.ice_daily.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ice_daily.nc,seaIce.1day.nv:2.xT:3600.xTe:3601.yT:845.yTe:846,1day,"2001-01-01, 00:00:00","2001-03-01, 00:00:00","['BHEAT', 'BMELT', 'E2MELT', 'average_DT', 'average_T1', 'average_T2', 'net_melt', 'nv', 'siconc', 'sithick', 'time', 'time_bnds', 'xT', 'xTe', 'yT', 'yTe']","['ocean to ice heat flux', 'bottom surface melting energy flux', 'heat needed to melt ice', 'Length of average period', 'Start time for average period', 'End time for average period', 'net mass flux from ice & snow to ocean due to melting & freezing', 'vertex number', 'ice concentration', 'ice thickness', 'time', 'time axis boundaries', 'T point nominal longitude', 'T-cell edge nominal longitude', 'T point nominal latitude', 'T-cell edge nominal latitude']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['time: mean', 'time: mean', 'time: mean', '', '', '', 'time: mean', '', 'time: mean', 'time: mean', '', '', '', '', '', '']","['W/m^2', 'W/m^2', 'J/m^2', 'days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'kg m-2 s-1', '', '0-1', 'm-ice', 'days since 1991-01-01 00:00:00', 'days', 'degrees_E', 'degrees_E', 'degrees_N', 'degrees_N']",seaIce
20010101.ice_month.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ice_month.nc,seaIce.1mon.nv:2.xB:3601.xT:3600.xTe:3601.yB:846.yT:845.yTe:846,1mon,"2001-01-01, 00:00:00","2001-03-01, 00:00:00","['BHEAT', 'BMELT', 'E2MELT', 'FA_X', 'FA_Y', 'TMELT', 'average_DT', 'average_T1', 'average_T2', 'fsitherm', 'net_melt', 'nv', 'siconc', 'sithick', 'time', 'time_bnds', 'xB', 'xT', 'xTe', 'yB', 'yT', 'yTe']","['ocean to ice heat flux', 'bottom surface melting energy flux', 'heat needed to melt ice', 'Air stress on ice on C-grid - x component', 'Air stress on ice on C-grid - y component', 'upper surface melting energy flux', 'Length of average period', 'Start time for average period', 'End time for average period', 'water_flux_into_sea_water_due_to_sea_ice_thermodynamics', 'net mass flux from ice & snow to ocean due to melting & freezing', 'vertex number', 'ice concentration', 'ice thickness', 'time', 'time axis boundaries', 'Boundary point nominal longitude', 'T point nominal longitude', 'T-cell edge nominal longitude', 'Boundary point nominal latitude', 'T point nominal latitude', 'T-cell edge nominal latitude']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['time: mean', 'time: mean', 'time: mean', 'time: mean', 'time: mean', 'time: mean', '', '', '', 'time: mean', 'time: mean', '', 'time: mean', 'time: mean', '', '', '', '', '', '', '', '']","['W/m^2', 'W/m^2', 'J/m^2', 'Pa', 'Pa', 'W/m^2', 'days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'kg m-2 s-1', 'kg m-2 s-1', '', '0-1', 'm-ice', 'days since 1991-01-01 00:00:00', 'days', 'degrees_E', 'degrees_E', 'degrees_E', 'degrees_N', 'degrees_N', 'degrees_N']",seaIce
20010101.ocean_daily_2001_001.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_001.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-01, 00:00:00","2001-01-02, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_002.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_002.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-02, 00:00:00","2001-01-03, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_003.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_003.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-03, 00:00:00","2001-01-04, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_004.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_004.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-04, 00:00:00","2001-01-05, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_005.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_005.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-05, 00:00:00","2001-01-06, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_006.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_006.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-06, 00:00:00","2001-01-07, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_007.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_007.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-07, 00:00:00","2001-01-08, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
20010101.ocean_daily_2001_008.nc,/g/data/ik11/outputs/mom6-panan/panan-01-zstar-2001rerun/output001/20010101.ocean_daily_2001_008.nc,ocean.1day.nv:2.xh:3600.yh:845,1day,"2001-01-08, 00:00:00","2001-01-09, 00:00:00","['average_DT', 'average_T1', 'average_T2', 'mlotst', 'nv', 'time', 'time_bnds', 'xh', 'yh', 'zos']","['Length of average period', 'Start time for average period', 'End time for average period', 'Ocean Mixed Layer Thickness Defined by Sigma T', 'vertex number', 'time', 'time axis boundaries', 'h point nominal longitude', 'h point nominal latitude', 'Sea surface height above geoid']","['', '', '', 'ocean_mixed_layer_thickness_defined_by_sigma_t', '', '', '', '', '', 'sea_surface_height_above_geoid']","['', '', '', 'area:mean yh:mean xh:mean time: mean', '', '', '', '', '', 'area:mean yh:mean xh:mean time: mean']","['days', 'days since 1991-01-01 00:00:00', 'days since 1991-01-01 00:00:00', 'm', '', 'days since 1991-01-01 00:00:00', 'days', 'degrees_east', 'degrees_north', 'm']",ocean
